unique_id,ds,y
SKU_01,2021-11-03,273.0
SKU_01,2021-11-04,243.0
SKU_01,2021-11-05,212.0
SKU_01,2021-11-06,44.0
SKU_01,2021-11-07,13.0
SKU_01,2021-11-08,239.0
SKU_01,2021-11-09,258.0
SKU_01,2021-11-10,231.0
SKU_01,2021-11-11,289.0
SKU_01,2021-11-12,241.0
SKU_01,2021-11-13,30.0
SKU_01,2021-11-14,6.0
SKU_01,2021-11-15,21.0
SKU_01,2021-11-16,211.0
SKU_01,2021-11-17,355.0
SKU_01,2021-11-18,276.0
SKU_01,2021-11-19,155.0
SKU_01,2021-11-20,48.0
SKU_01,2021-11-21,29.0
SKU_01,2021-11-22,337.0
SKU_01,2021-11-23,394.0
SKU_01,2021-11-24,183.0
SKU_01,2021-11-25,330.0
SKU_01,2021-11-26,333.0
SKU_01,2021-11-27,67.0
SKU_01,2021-11-28,27.0
SKU_01,2021-11-29,337.0
SKU_01,2021-11-30,235.0
SKU_01,2021-12-01,317.0
SKU_01,2021-12-02,369.0
SKU_01,2021-12-03,314.0
SKU_01,2021-12-04,34.0
SKU_01,2021-12-05,24.0
SKU_01,2021-12-06,282.0
SKU_01,2021-12-07,268.0
SKU_01,2021-12-08,290.0
SKU_01,2021-12-09,179.0
SKU_01,2021-12-10,203.0
SKU_01,2021-12-11,14.0
SKU_01,2021-12-12,11.0
SKU_01,2021-12-13,203.0
SKU_01,2021-12-14,139.0
SKU_01,2021-12-15,134.0
SKU_01,2021-12-16,125.0
SKU_01,2021-12-17,179.0
SKU_01,2021-12-18,35.0
SKU_01,2021-12-19,10.0
SKU_01,2021-12-20,126.0
SKU_01,2021-12-21,126.0
SKU_01,2021-12-22,84.0
SKU_01,2021-12-23,69.0
SKU_01,2021-12-24,2.0
SKU_01,2021-12-25,2.0
SKU_01,2021-12-26,0.0
SKU_01,2021-12-27,56.0
SKU_01,2021-12-28,52.0
SKU_01,2021-12-29,92.0
SKU_01,2021-12-30,41.0
SKU_01,2021-12-31,2.0
SKU_01,2022-01-01,10.0
SKU_01,2022-01-02,16.0
SKU_01,2022-01-03,147.0
SKU_01,2022-01-04,276.0
SKU_01,2022-01-05,218.0
